329963,685208
9197601,9197569
9197569,9197603
9197603,9197540
9197540,9197605
9197605,9197584
9197584,9197604
9197604,9197495
9197495,9197555
9197555,9197562
9197562,9197568
9197568,9197570
9197570,9197071
9197071,9197233
9197233,9197194
9197194,9197199
9197199,9197144
9197144,9197146
9197146,9197189
9197189,9197459
9197459,9197254
9197254,9197097
9197097,9197087
9197087,9197086
9197086,9197131
9197131,9197260
9197260,9197212
9197212,9197538
9197538,9197098
9197098,9197539
9197539,9197075
9197075,9197145
9197145,9197072
9197072,9197628
9197628,9197633
9197633,9197606
9197606,9197631
9197631,9197578
9197578,9197575
9197575,9197576
9197576,9197524
9197524,9197493
9197493,9197107
9197107,9197127
9197127,9197607
1996370,8295616
4301940,30462784
123786,638766
123786,2779836
123786,2998317
638766,99480
99480,3120253
3120253,3417680
3417680,931451
931451,118724
118724,45333
45333,2431267
2431267,2455326
2455326,479968
479968,383613
383613,2492569
2492569,84761
5014302,5819691
8847685,7646711
7654906,213748
8437169,12462034
6770981,6695376
6632247,8549973
983944,3706790
3706790,3747164
6205015,6205016
34203821,33526490
34203821,33845049
34203821,34092169
33526490,30773465
30773465,34593304
34593304,30654016
30654016,30658328
30658328,30653357
30653357,33550815
33550815,33909359
33909359,33775625
33775625,33698024
33698024,31856877
31856877,30653346
30653346,34291156
34291156,30653265
30653265,31497328
31497328,33548958
33548958,34036342
34036342,33549041
33549041,34776433
34776433,30657444
30657444,35193867
35193867,33549008
33549008,9065110
9065110,33548824
33548824,34167545
34167545,33678513
33678513,33809009
33809009,34054212
34054212,33549153
33549153,33845049
34092169,33549273
33549273,33677176
33677176,33880207
33880207,34091757
34091757,1899205
1899205,34433176
34433176,33503522
33503522,33709009
33709009,33951746
33951746,13600219
13600219,34054031
34054031,34410096
34410096,33708990
1938351,1896718
1896718,1166957
9160509,4009516
9160509,4009513
4009516,4009513
1562290,1672430
9622761,32908509
2744370,34193
2744370,136914
34193,136914
3321847,7041396
3321847,6964591
7041396,6964591
485798,338990
518606,7162254
518606,7029794
10766,4017
85855,500366
85855,808284
5921702,8408593
